sample_id,catalog_content,image_link,price_x,declared_quantity,certifications_0,certifications_1,certifications_2,variant,target_demographic,country_of_origin,manufacturer,is_organic,is_natural,edible,is_premium,is_bundle_deal,is_limited_edition,price_y,brand_name,product_name,category,product_form,declared_unit,packaging_type,packaging_material,overall_summary
266977,"Item Name: TRES AGAVES Organic Mixer Agave Nectar, 750 ML
Bullet Point 1: Ridiculously delicious, low calorie sweetener that's ready to use in margarita mixers
Bullet Point 2: USDA Certified Organic, low-calorie sweetener that dissolves easily in cold and hot beverages and foods
Bullet Point 3: Gold winner of Beverage Tasting Institute
Bullet Point 4: Cocktail-ready agave nectar is perfect as a margarita mixer or as a sweetener for food or drink
Bullet Point 5: Sourced from Mexico's Tequila Valley from the same blue agave plants as Tres Agaves Tequila
Product Description: Tres Agaves Organic Agave Nectar is a cocktail-ready sweetener sourced from the same blue agave plants as Tres Agaves Tequila, making it an essential margarita ingredient. This ridiculously delicious, low calorie sweetener is a Beverage Tasting Institute Gold winner. Unlike other honey-like agave syrup sweeteners, this USDA Certified organic sweetener is balanced with just enough purified water so that it dissolves easily in cold beverages, like iced tea, margaritas or other cocktails. Agave nectar is also a great way to sweeten hot items like coffee, tea or even oatmeal. If you're out of margarita mix, simply combine this agave sweetener with tequila and lime juice for a fresh margarita in minutes. Sourced from Mexico's Tequila Valley, blue agave takes six to eight years to mature. After harvest, the agave is slow roasted to convert the starches to caramelizing sugars. Tres Agaves Organic Agave sweetener does not contain alcohol. In Tequila Valley, we trust.
Value: 25.36
Unit: Fl Oz
",https://m.media-amazon.com/images/I/51glYn+Z0pL.jpg,27.98,750.0,USDA Organic,Beverage Tasting Institute Gold Winner,,750 ml,adult,Mexico,,1.0,,1,1,0,0,,Tres Agaves,Organic Mixer Agave Nectar,Grocery & Gourmet Food,liquid,ml,bottle,glass,"Premium, organic agave nectar positioned as a high-quality, cocktail-ready sweetener with a USDA Organic certification and a Beverage Tasting Institute Gold Winner award, indicating superior taste and quality. The 750 ml glass bottle packaging and specialized sourcing from Mexico’s Tequila Valley enhance its premium appeal. Low-calorie and versatile for both cold and hot beverages, it targets health-conscious consumers and cocktail enthusiasts willing to pay for organic, artisanal ingredients."
41186,"Item Name: Uncle Lee's Legends of China White Tea - 100 Tea Bags
Bullet Point 1: Uncle lee's legends of china white tea - 100 tea bags
Bullet Point 2: country of origin : united states
Bullet Point 3: is kosher : yes
Bullet Point 4: size : 100 bag
Bullet Point 5: pack of : 1
Product Description: Uncle lee's legends of china white tea - 100 tea bags<br>country of origin : united states<br>is kosher : yes<br>size : 100 bag<br>pack of : 1<br>selling unit : each<br>
Value: 100.0
Unit: Count
",https://m.media-amazon.com/images/I/61WH63JzuxL.jpg,4.93,100.0,,,,,adult,United States,,,1.0,1,0,0,0,,Uncle Lee's Tea,Légendes de Chine Thé Blanc (White Tea),Grocery & Gourmet Food,Tea Bags,count,box,mixed,"Mid-tier branded tea product positioned as naturally inspired but not explicitly premium. Packaging emphasizes traditional Chinese heritage with aesthetic appeal, but lacks luxury indicators. The 100-tea-bag format suggests value-oriented pricing for repeat use, though no certifications or high-end materials are visible to justify premium positioning. Brand may rely on heritage branding and kosher certification to differentiate in a competitive tea market."
23669,"Item Name: Premium | POPCORN SEASONING | Variety 4 Pack | Gingerbread Popcorn Seasoning | Cinnamon Sugar Popcorn Seasoning | Christmas Cookie Popcorn Seasoning | Fairy Dust Popcorn Seasoning | Crafted in Small Batches | 3.5 fl. oz. Shakers
Bullet Point 1: Introducing our festive Popcorn Variety 4-Pack, a delightful collection of seasonal flavors that will transform your movie nights and holiday gatherings into deliciously magical experiences. Each pack features a unique blend of sweet and spicy seasonings, inspired by classic holiday treats and childhood nostalgia.
Bullet Point 2: 🎄 Gingerbread Popcorn Seasoning: Embrace the warm and cozy flavors of the holiday season with our Gingerbread Popcorn Seasoning. Infused with aromatic spices like ginger, cinnamon, and cloves, this seasoning captures the essence of freshly baked gingerbread cookies, making every bite a festive delight.
Bullet Point 3: 🍬 Cinnamon Sugar Popcorn Seasoning: Indulge in the sweet and comforting taste of our Cinnamon Sugar Popcorn Seasoning. With its perfect balance of cinnamon spice and sweet sugar, this seasoning brings the classic flavors of cinnamon toast to your popcorn, creating a nostalgic treat that's perfect for cozy nights by the fire.
Bullet Point 4: 🍪 Christmas Cookie Popcorn Seasoning: Transport yourself to a winter wonderland with our Christmas Cookie Popcorn Seasoning. Bursting with the irresistible flavors of vanilla, almond, and holiday spices, this seasoning evokes memories of freshly baked Christmas cookies, making every bite a magical experience.
Bullet Point 5: ✨ Fairy Dust Popcorn Seasoning: Add a sprinkle of enchantment to your popcorn with our Fairy Dust Popcorn Seasoning. Made with shimmering sugar crystals and a hint of magic, this seasoning adds a touch of sparkle to your popcorn, turning every bowl into a whimsical treat fit for fairy tales.
Bullet Point 6: 🌟 Perfect for Holiday Celebrations: Whether you're hosting a festive gathering, trimming the tree, or cozying up for a holiday movie marathon, our Popcorn Variety 4-Pack is the perfect way to spread joy and cheer. Share the magic of the season with family and friends as you enjoy these delicious and whimsical popcorn flavors.
Bullet Point 7: ✨ Easy to Use: Simply pop your favorite popcorn, sprinkle on the seasoning while it's still warm, and toss to coat evenly. In seconds, you'll have a bowl of deliciously flavored popcorn that's ready to enjoy.
Bullet Point 8: Treat yourself to a taste of the holidays with our Popcorn Variety 4-Pack. With its festive flavors and enchanting seasonings, it's sure to bring joy and delight to your holiday celebrations. 🎄🍬🍪
Bullet Point 9: TASTE the PREMIUM difference!
Bullet Point 10: Gluten free. No MSG. Sturdy 3.5 oz BPA free shaker bottles with sift options. A double FRESHNESS seal is applied to FRESH ingredients immediately after blending to quality ingredients for maximum flavor and zest. Buy today and enjoy!
Product Description: Introducing our festive Popcorn Variety 4-Pack, a delightful collection of seasonal flavors that will transform your movie nights and holiday gatherings into deliciously magical experiences. Each pack features a unique blend of sweet and spicy seasonings, inspired by classic holiday treats and childhood nostalgia.
Value: 14.0
Unit: Ounce
",https://m.media-amazon.com/images/I/815g9r1kIkL.jpg,26.88,14.0,,,,,unisex,,,,,1,1,1,0,,,POPCORN SEASONING | Variety 4 Pack,Grocery & Gourmet Food,granule,oz,bottle,plastic,"Premium, holiday-themed popcorn seasoning bundle with nostalgic, whimsical flavors positioned as a gourmet treat. Small-batch, specialty packaging (BPA-free shakers with double freshness seal) signals quality and freshness, justifying a higher price point. Gluten-free and no MSG claims cater to health-conscious consumers, while the festive branding and limited seasonal relevance may drive urgency and perceived exclusivity."
151047,"Item Name: Boulder Canyon Hickory Barbeque Kettle Cooked Potato Chips 6.5-ounce Bags (Pack of 12)
Value: 78.0
Unit: Ounce
",https://m.media-amazon.com/images/I/719o-3thgJL.jpg,21.74,12.0,,,,6.5-ounce Bags (Pack of 12),unisex,,,,1.0,1,0,1,0,,Boulder Canyon,Hickory Barbeque Kettle Cooked Potato Chips,Grocery & Gourmet Food,solid,count,bag,,"Standard multi-pack potato chips positioned as a budget-friendly snack option. The 'kettle cooked' process suggests a slightly premium preparation method but lacks explicit organic or specialty certifications. Packaging emphasizes quantity (12 bags) as a value driver, targeting cost-conscious consumers without premium branding cues."
50343,"Item Name: Whey Protein Water Sports Drink by PWR LIFT | Orange Mango | Keto, Vitamin B, Electrolytes, Zero Sugar, 10g of Protein | Post-Workout Energy Beverage | 16.9oz (Pack of 12)
Bullet Point 1: REFRESHING FRUIT FLAVOR: PWR LIFT is a thirst-quenching drink, combining juicy, fruit-forward flavor, super-charged hydration, and no chalky aftertaste to power you after a workout.
Bullet Point 2: 10G PROTEIN: Our refreshing protein infused water includes 10G of clear Whey Protein Isolate to help hit high protein goals. With a convenient on the go format, drinking PWR LIFT is easier than bulky protein powers, bottle shakers, protein bars, protein snacks, and thick protein shakes.
Bullet Point 3: B-VITAMINS AND ELECTROLYTES: PWR LIFT’s B-vitamins support your body’s overall wellbeing and help increase energy levels, while hydrating electrolytes work to replenish and rehydrate what you may lose in your workout.
Bullet Point 4: ZERO SUGAR: At only 50 calories, PWR LIFT has ZERO sugar and no artificial flavors or sweeteners. For guilt-free refreshment, enjoy as an alternative to sugary sports drinks.
Bullet Point 5: KETO CERTIFIED: With only 1g of total carbs, PWR LIFT is Keto certified to help you achieve your fitness goals. PWR LIFT is also Gluten Free and Lactose Free.
Value: 202.8
Unit: Fl Oz
",https://m.media-amazon.com/images/I/71MtS2vF13L.jpg,3.085,12.0,,,,"Orange Mango, Pack of 12",adult,,,,,1,0,1,0,,PWR LIFT,Whey Protein Water Sports Drink,Grocery & Gourmet Food,liquid,fl_oz,bottle,plastic,"Positioned as a functional, on-the-go sports recovery drink with a premium health angle despite affordable packaging. The 12-bottle multipack offers volume savings and targets health-conscious buyers with keto, gluten-free, and high-protein claims. No visible certifications or premium branding signals, but functional benefits (B-vitamins, electrolytes, zero sugar) justify a mid-range price point compared to traditional sports drinks."
197907,"Item Name: Amoretti Craft Puree, Mango, 25.4 Fluid Ounce
Bullet Point 1: Ships with a free pump
Bullet Point 2: Revolutionary flavoring concept for alcoholic beverages
Bullet Point 3: Made with natural flavor
Bullet Point 4: Proudly made in Southern California
Bullet Point 5: TTB Approved
Value: 25.4
Unit: Fl Oz
",https://m.media-amazon.com/images/I/61u9banL68L.jpg,35.71,25.4,TTB Approved,,,Mango,adult,Southern California,,,1.0,1,1,0,0,,Amoretti,Craft Puree Mango,Grocery & Gourmet Food,liquid,fl_oz,bottle,plastic,"Premium craft product positioned as a specialty item for alcoholic beverage enhancement, targeting adult consumers with a focus on unique flavor profiles. The 'craft' branding and natural flavor claim suggest a mid-to-high-tier positioning, justified by its specialized use and artisanal appeal. Packaging and TTB approval indicate compliance with quality and regulatory standards for food-grade additives."
271431,"Item Name: Pacific Foods Hemp Milk Unswtnd Van
Value: 192.0
Unit: Fl Oz
",https://m.media-amazon.com/images/I/51HTY127okL.jpg,14.0,32.0,,,,"Vanilla, Unsweetened",adult,,,,1.0,1,0,0,0,,Pacific,Hemp Non-Dairy Beverage,Grocery & Gourmet Food,liquid,fl_oz,carton,cardboard,"A plant-based, non-dairy beverage targeting health-conscious consumers. The vanilla flavor and unsweetened formulation cater to those seeking low-sugar or naturally flavored alternatives. Packaging emphasizes functional benefits like balanced omega fatty acids, calcium, vitamin D, and protein, suggesting a mid-range health-focused product with no premium branding but clear functional positioning."
139622,"Item Name: French's Chili-O with Onion Seasoning Mix, 2.25 oz (Pack of 10)
Bullet Point 1: Chili seasoning with chopped onion, chili pepper, paprika and garlic
Bullet Point 2: Saves you time … makes homemade chili in 20 minutes
Bullet Point 3: No MSG added
Bullet Point 4: Get cookin’: Combine with ground beef or ground turkey, tomato & kidney beans
Bullet Point 5: Use Chili-O anywhere you want to add savory onion flavor
Value: 22.5
Unit: ounce
",https://m.media-amazon.com/images/I/91CJ7JUkQ0L.jpg,3.49,2.25,,,,,unisex,,,,,1,0,0,0,,French's,Chili-O Seasoning Mix with Onion,Grocery & Gourmet Food,granule,oz,pouch,plastic,"A budget-friendly, mass-market seasoning mix from a trusted brand, positioned as a time-saving ingredient for homemade chili. The single-serving 2.25 oz pouch targets convenience, with no premium claims but standardized flavor and functional use. Packaging emphasizes ease of use and affordability, making it ideal for everyday cooking without luxury positioning."
89756,"Item Name: Otafuku Japanese Tonkatsu Sauce, Rich and Savory Katsu Sauce for Japanese Fried Pork Cutlets, Gluten Free and Vegan (14 Ounces)
Bullet Point 1: Rich, Savory Flavor: This premium quality Japanese tonkatsu sauce has a blend of sweet and tangy flavors that enhance the taste of fried pork cutlets or any other fried dish.
Bullet Point 2: Authentic Japanese Ingredients: Made with traditional ingredients such as gluten-free soy sauce, apples, tomatoes, peaches, raisin juice, and spices, this tonkatsu sauce brings a true Japanese taste to your table.
Bullet Point 3: All the good, none of the bad: Made with gluten-free soy sauce this sauce is vegan and is the only authentic tonkatsu sauce made without high fructose corn syrup, artificial flavors, colors, preservatives, and MSG.
Bullet Point 4: Ideal for Dipping and Marinating: Whether you prefer to dip your tonkatsu in the sauce or marinate it before frying, this tonkatsu sauce is perfect for adding extra flavor.
Bullet Point 5: Versatile and Easy to Use: This sauce is not just for tonkatsu, it can be used with a variety of other dishes such as fried chicken or vegetables. Simply pour over your plate for an added burst of flavor.
Bullet Point 6: Convenient and Long-Lasting: This tonkatsu sauce comes in a sturdy and easy-to-use bottle that can be stored for an extended period of time. Just shake the bottle before use for the perfect consistency.
Bullet Point 7: Sweet and Tangy Blend: This tonkatsu sauce's sweet and tangy flavors are perfectly balanced to enhance the taste of any dish.
Bullet Point 8: A True Japanese Taste: With authentic Japanese ingredients, this tonkatsu sauce brings a true taste of Japan to your home.
Bullet Point 9: Sturdy Bottle for Freshness: The sturdy bottle ensures that the sauce stays fresh for a long time and is ready to use whenever you need it. Just shake the bottle before serving to get a perfect consistency and enjoy the delicious taste.
Bullet Point 10: A Must-Have for Tonkatsu Lovers: This premium quality tonkatsu sauce is a must-have for any tonkatsu lover or Asian cuisine enthusiast. It is the perfect addition to your kitchen for a delicious and authentic taste.
Value: 14.0
Unit: Ounce
",https://m.media-amazon.com/images/I/61cmcCAnzBL.jpg,13.99,14.0,,,,14 Ounces,unisex,,,,1.0,1,1,0,0,,Otafuku,Katsu Japanese Cutlet Sauce,Grocery & Gourmet Food,liquid,oz,bottle,plastic,"Premium-priced sauce marketed as a high-quality, authentic Japanese product with a focus on health-conscious attributes (gluten-free, vegan, no artificial additives). The 14 oz plastic bottle suggests a mid-sized, single-use packaging typical of specialty sauces, positioning it between economy and premium tiers. Branding emphasizes 'rich, savory flavor' and versatility, justifying a price premium over generic tonkatsu sauces while avoiding overt luxury cues."
136162,"Item Name: Nature Valley Granola Bars, Sweet & Salty Nut, Cashew, 12 ct, 14.8 oz
Bullet Point 1: GRANOLA BAR: Nature Valley granola bars are made with whole grain oats, roasted cashews, and cashew butter.
Bullet Point 2: REAL INGREDIENTS: Hearty 100% whole grain oats with no artificial flavors, artificial colors, artificial sweeteners, or corn syrup.
Bullet Point 3: SWEET & SALTY: A perfect balance of savory nuts and sweet granola; each bar bursting with nuts and dipped in a creamy cashew butter coating.
Bullet Point 4: PERFECTLY PORTABLE: Easy, wholesome bites for breakfast, snack time or an on-the-go invigorating treat.
Bullet Point 5: BOX CONTAINS: 12 bars, 1.2 oz each
Value: 14.8
Unit: ounce
",https://m.media-amazon.com/images/I/911Qudjsw-L.jpg,9.98,12.0,,,,"Cashew, 12 bars (1.2 oz each)",unisex,,,,1.0,1,0,1,0,,Nature Valley,Nature Valley Sweet & Salty Nut Chewy Granola Bars,Grocery & Gourmet Food,bar,oz,box,cardboard,"Budget-friendly multipack granola bar positioned as a wholesome, natural snack with no artificial additives. The 12-bar value pack leverages portion control (1.2 oz each) to maximize perceived value without premium pricing cues. Branding emphasizes real ingredients and simplicity, targeting health-conscious consumers while maintaining affordability through mass-market packaging and standard supermarket distribution."
